main_address,rental_type
1633 18TH ST 3,Standard Rental
1633 18TH ST 4,Standard Rental
1634 17TH ST 7,Standard Rental
1634 17TH ST 8,Standard Rental
980 UNIVERSITY AVE,Standard Rental
1634 17TH ST 11,Standard Rental
1634 17TH ST 13,Standard Rental
1634 17TH ST 14,Short Term Rental
1830 17TH ST 3,Standard Rental
1830 17TH ST 4,Standard Rental
1802 CANYON BLVD 1,Standard Rental
1802 CANYON BL 2,Standard Rental
1802 CANYON BL 3,Standard Rental
1802 CANYON BL 4,Standard Rental
1802 CANYON BL 5,Standard Rental
2360 GROVE ST,Standard Rental
1655 WALNUT ST 208,Standard Rental
1655 WALNUT ST 209,Standard Rental
2127 14TH ST,Standard Rental
2131 14TH ST,Standard Rental
2135 14TH ST,Standard Rental
1077 CANYON BLVD 211,Standard Rental
1077 CANYON BLVD 304,Standard Rental
1077 CANYON BLVD 305,Standard Rental
1077 CANYON BLVD 306,Standard Rental
1625 17TH ST,Short Term Rental
2304 PEARL ST,Standard Rental
1940 23RD ST,Standard Rental
1916 23RD ST,Standard Rental
2116 PEARL ST B,Standard Rental
2116 PEARL ST C,Standard Rental
2116 PEARL ST D,Standard Rental
2118 PEARL ST D,Standard Rental
2118 PEARL ST E,Standard Rental
1824 PEARL ST B,Standard Rental
2035 MARINE ST,Standard Rental
1912 ARAPAHOE AVE,Standard Rental
1503 20TH ST,Standard Rental
1513 20TH ST,Standard Rental
1340 19TH ST,Standard Rental
1852 ARAPAHOE AV,Standard Rental
1840 ARAPAHOE AV,Standard Rental
1828 ARAPAHOE AV,Standard Rental
1818 ARAPAHOE AV,Standard Rental
1705 MARINE ST,Standard Rental
1719 MARINE ST,Standard Rental
1427 18TH ST,Standard Rental
1723 MARINE ST,Standard Rental
1805 MARINE ST,Standard Rental
1815 MARINE ST,Standard Rental
1401 19TH ST,Standard Rental
1395 19TH ST,Standard Rental
1325 19TH ST,Standard Rental
1709 HILLSIDE RD,Standard Rental
1710 HILLSIDE RD,Standard Rental
1310 FOLSOM ST,Standard Rental
2425 UNIVERSITY HEIGHTS AV,Standard Rental
2440 UNIVERSITY HEIGHTS AV,Standard Rental
1510 20TH ST,Standard Rental
1825 MARINE ST 2,Standard Rental
1825 MARINE ST 3,Short Term Rental
1825 MARINE ST 4,Standard Rental
1825 MARINE ST 7,Standard Rental
1825 MARINE ST 8,Standard Rental
1825 MARINE ST 9,Standard Rental
1825 MARINE ST 10,Standard Rental
1825 MARINE ST 11,Standard Rental
1825 MARINE ST 14,Standard Rental
1825 MARINE ST 15,Standard Rental
1825 MARINE ST 17,Standard Rental
1825 MARINE ST 18,Standard Rental
1821 MARINE ST,Standard Rental
1817 MARINE ST A&B,Standard Rental
1823 MARINE ST,Standard Rental
1430 18TH ST 1,Standard Rental
1430 18TH ST 2,Standard Rental
1430 18TH ST 3,Standard Rental
1430 18TH ST 4,Standard Rental
1430 18TH ST 5,Standard Rental
1430 18TH ST 11,Standard Rental
1430 18TH ST 13,Standard Rental
1430 18TH ST 15,Standard Rental
1430 18TH ST 17,Standard Rental
1430 18TH ST 18,Standard Rental
1431 18TH ST,Standard Rental
1834 ARAPAHOE AVE B,Standard Rental
1944 ARAPAHOE AV C,Standard Rental
1201 17TH ST,Standard Rental
1024 MARINE ST,Standard Rental
1018 MARINE ST,Standard Rental
1008 MARINE ST,Standard Rental
1004 MARINE ST,Standard Rental
964 MARINE ST,Standard Rental
1535 10TH ST,Standard Rental
956 MARINE ST,Standard Rental
952 MARINE ST,Standard Rental
950 MARINE ST,Standard Rental
948 MARINE ST,Standard Rental
955 GRANDVIEW AV,Standard Rental
959 GRANDVIEW AV,Standard Rental
948 GRANDVIEW AVE,Standard Rental
950 GRANDVIEW AV,Standard Rental
1335 BROADWAY,Standard Rental
1590 HILLSIDE RD,Standard Rental
1601 HILLSIDE RD,Standard Rental
1600 HILLSIDE RD,Standard Rental
1670 HILLSIDE RD,Accessory Dwelling Unit
1345 GRANDVIEW AV,Standard Rental
1308 GRANDVIEW AVE,Standard Rental
952 ARAPAHOE AV,Standard Rental
1625 LINCOLN PL,Standard Rental
1617 LINCOLN PL,Standard Rental
949 MARINE ST,Standard Rental
955 MARINE ST,Standard Rental
959 MARINE ST,Standard Rental
963 MARINE ST,Standard Rental
967 MARINE ST,Standard Rental
1050 ARAPAHOE AV,Standard Rental
1004 ARAPAHOE AV,Standard Rental
990 ARAPAHOE AV,Standard Rental
986 ARAPAHOE AV,Standard Rental
976 ARAPAHOE AV,Standard Rental
1085 MARINE ST,Standard Rental
1099 MARINE ST,Standard Rental
1155 MARINE ST,Standard Rental
944 MARINE ST,Standard Rental
932 MARINE ST,Standard Rental
931 GRANDVIEW AV,Standard Rental
945 GRANDVIEW AV,Short Term Rental
965 GRANDVIEW AV,Standard Rental
961 GRANDVIEW AV,Standard Rental
1003 GRANDVIEW AVE,Standard Rental
1516 10TH ST,Standard Rental
1017 GRANDVIEW AVE,Standard Rental
1023 GRANDVIEW AV,Standard Rental
1029 GRANDVIEW AV,Standard Rental
1035 GRANDVIEW AV,Standard Rental
1521 11TH ST,Standard Rental
1515 11TH ST,Standard Rental
1041 GRANDVIEW AVE,Standard Rental
905 PLEASANT ST,Standard Rental
1555 BROADWAY,Standard Rental
1531 BROADWAY,Standard Rental
1515 BROADWAY,Standard Rental
1511 BROADWAY,Standard Rental
1501 BROADWAY,Standard Rental
1145 GRANDVIEW AV,Standard Rental
1125 GRANDVIEW AV,Standard Rental
1115 GRANDVIEW AV,Standard Rental
1138 GRANDVIEW AV,Standard Rental
1453 BROADWAY,Standard Rental
1101 UNIVERSITY AV,Standard Rental
1121 UNIVERSITY AV,Standard Rental
1131 UNIVERSITY AV,Standard Rental
1000 GRANDVIEW AV,Standard Rental
1030 GRANDVIEW AV,Standard Rental
1036 GRANDVIEW AV,Standard Rental
1046 GRANDVIEW AV,Owner Accessory Unit
1004 GRANDVIEW AV,Standard Rental
1008 GRANDVIEW AV,Standard Rental
1012 GRANDVIEW AV,Standard Rental
1018 GRANDVIEW AV,Standard Rental
1022 GRANDVIEW AV,Standard Rental
944 13TH ST,Standard Rental
1026 GRANDVIEW AV,Standard Rental
974 GRANDVIEW AV,Standard Rental
947 UNIVERSITY AVE,Standard Rental
951 UNIVERSITY AVE,Standard Rental
955 UNIVERSITY AVE,Standard Rental
959 UNIVERSITY AV,Standard Rental
975 UNIVERSITY AVE,Standard Rental
1429 10TH ST,Standard Rental
1425 LINCOLN PL,Relative Occupied (1 Unit)
932 GRANDVIEW AV,Standard Rental
928 GRANDVIEW AVE,Standard Rental
928 GRANDVIEW AV,Standard Rental
915 UNIVERSITY AV,Standard Rental
925 UNIVERSITY AVE,Standard Rental
943 UNIVERSITY AV,Standard Rental
904 UNIVERSITY AVE,Standard Rental
910 UNIVERSITY AVE,Short Term Rental
928 UNIVERSITY AV,Standard Rental
938 UNIVERSITY AV,Standard Rental
946 UNIVERSITY AV,Standard Rental
950 UNIVERSITY AV,Standard Rental
952 UNIVERSITY AV,Standard Rental
960 UNIVERSITY AV,Standard Rental
976 UNIVERSITY AV,Standard Rental
911 PLEASANT ST,Standard Rental
917 PLEASANT ST,Standard Rental
935 PLEASANT ST,Standard Rental
953 PLEASANT ST,Standard Rental
957 PLEASANT ST,Standard Rental
963 PLEASANT ST,Standard Rental
965 PLEASANT ST,Standard Rental
971 PLEASANT ST,Standard Rental
975 PLEASANT ST,Standard Rental
985 PLEASANT ST,Standard Rental
936 UNIVERSITY AV,Standard Rental
961 PLEASANT ST,Standard Rental
1002 UNIVERSITY AV,Standard Rental
1012 UNIVERSITY AVE,Standard Rental
1036 UNIVERSITY AV,Standard Rental
1038 UNIVERSITY AV,Standard Rental
1044 UNIVERSITY AV,Standard Rental
1104 UNIVERSITY AV,Standard Rental
1134 UNIVERSITY AV,Standard Rental
1133 PLEASANT ST,Standard Rental
1137 PLEASANT ST,Standard Rental
1216 PLEASANT ST,Standard Rental
1203 PENNSYLVANIA AV,Standard Rental
1209 PENNSYLVANIA AV,Standard Rental
1215 13TH ST,Standard Rental
1235 PENNSYLVANIA AV,Standard Rental
1204 PLEASANT ST,Standard Rental
1122 PLEASANT ST,Standard Rental
1134 PLEASANT ST,Standard Rental
1138 PLEASANT ST,Standard Rental
1146 PLEASANT ST,Standard Rental
1101 PENNSYLVANIA AV,Standard Rental
1115 PENNSYLVANIA AVE,Standard Rental
1121 PENNSYLVANIA AV,Standard Rental
1135 PENNSYLVANIA AV,Standard Rental
1145 PENNSYLVANIA AV,Standard Rental
1004 PLEASANT ST,Standard Rental
1008 PLEASANT ST,Standard Rental
1020 PLEASANT ST,Standard Rental
1028 PLEASANT ST,Standard Rental
1028 PLEASANT ST,Standard Rental
1034 PLEASANT ST,Standard Rental
1044 PLEASANT ST,Standard Rental
1005 PENNSYLVANIA AV,Standard Rental
1011 PENNSYLVANIA AV,Standard Rental
1015 PENNSYLVANIA AV,Standard Rental
1027 PENNSYLVANIA AVE,Standard Rental
1033 PENNSYLVANIA AV,Standard Rental
1219 11TH ST,Standard Rental
1045 PENNSYLVANIA AV,Standard Rental
910 PLEASANT ST,Standard Rental
912 PLEASANT ST,Standard Rental
918 PLEASANT ST,Standard Rental
926 PLEASANT ST,Standard Rental
936 PLEASANT ST,Standard Rental
958 PLEASANT ST,Standard Rental
962 PLEASANT ST,Standard Rental
972 PLEASANT ST,Standard Rental
976 PLEASANT ST,Standard Rental
980 PLEASANT ST,Standard Rental
905 PENNSYLVANIA AVE,Standard Rental
911 PENNSYLVANIA AV,Standard Rental
919 PENNSYLVANIA AV,Standard Rental
925 PENNSYLVANIA AV,Standard Rental
933 PENNSYLVANIA AV,Standard Rental
951 PENNSYLVANIA AV,Standard Rental
955 PENNSYLVANIA AV,Standard Rental
961 PENNSYLVANIA AV,Standard Rental
983 PENNSYLVANIA AV,Standard Rental
1163 LINCOLN PL,Standard Rental
1153 LINCOLN PL,Standard Rental
1147 LINCOLN PL,Standard Rental
1141 LINCOLN PL,Standard Rental
1135 LINCOLN PL,Standard Rental
1117 LINCOLN PL,Standard Rental
1111 LINCOLN PL,Standard Rental
1105 LINCOLN PL,Standard Rental
1156 LINCOLN PL,Standard Rental
1150 LINCOLN PL,Standard Rental
1124 LINCOLN PL,Standard Rental
1120 LINCOLN PL,Standard Rental
1110 LINCOLN PL,Standard Rental
951 COLLEGE AVE,Standard Rental
955 COLLEGE AVE,Standard Rental
1107 10TH ST,Standard Rental
1113 10TH ST,Owner Occupied (1 Unit)
1125 10TH ST,Standard Rental
1135 10TH ST,Standard Rental
1137 10TH ST,Standard Rental
1145 10TH ST,Standard Rental
1151 10TH ST,Standard Rental
1155 10TH ST,Standard Rental
1165 10TH ST,Standard Rental
1164 10TH ST,Standard Rental
1150 10TH ST,Standard Rental
1146 10TH ST,Standard Rental
1140 10TH ST,Standard Rental
1134 10TH ST,Standard Rental
1130 10TH ST,Standard Rental
1120 10TH ST,Standard Rental
1110 10TH ST,Standard Rental
1100 10TH ST,Standard Rental
1121 11TH ST,Standard Rental
1129 11TH ST,Standard Rental
1131 11TH ST,Standard Rental
1135 11TH ST,Standard Rental
1141 11TH ST,Standard Rental
1161 11TH ST,Standard Rental
1100 PENNSYLVANIA AV,Standard Rental
1142 11TH ST,Standard Rental
1140 11TH ST,Standard Rental
1130 11TH ST,Standard Rental
1111 COLLEGE AV,Standard Rental
1107 12TH ST,Standard Rental
1127 12TH ST,Standard Rental
1139 12TH ST,Standard Rental
1149 12TH ST,Standard Rental
1128 PENNSYLVANIA AV,Standard Rental
1162 12TH ST,Standard Rental
1146 12TH ST,Standard Rental
1138 12TH ST,Standard Rental
1130 12TH ST,Standard Rental
1122 12TH ST,Standard Rental
1114 12TH ST,Standard Rental
1205 COLLEGE AV,Standard Rental
1225 COLLEGE AVE,Standard Rental
1143 13TH ST,Standard Rental
1155 13TH ST,Standard Rental
1226 PENNSYLVANIA AV,Standard Rental
1144 13TH ST,Standard Rental
1130 13TH ST,Standard Rental
1118 13TH ST,Standard Rental
1110 13TH ST,Standard Rental
1110 13TH ST,Standard Rental
1307 COLLEGE AV,Standard Rental
1127 BROADWAY,Standard Rental
1105 11TH ST,Standard Rental
1065 UNIVERSITY AV 101,Standard Rental
1065 UNIVERSITY AV 102,Standard Rental
1065 UNIVERSITY AV 103,Standard Rental
1065 UNIVERSITY AV 104,Standard Rental
1065 UNIVERSITY AV 105,Standard Rental
1065 UNIVERSITY AV 106,Standard Rental
1065 UNIVERSITY AV 107,Standard Rental
1065 UNIVERSITY AV 108,Standard Rental
1065 UNIVERSITY AV 109,Standard Rental
1065 UNIVERSITY AV 110,Standard Rental
1065 UNIVERSITY AV 111,Standard Rental
1065 UNIVERSITY AV 112,Standard Rental
1065 UNIVERSITY AVE 113,Standard Rental
1065 UNIVERSITY AV 114,Standard Rental
1065 UNIVERSITY AV 115,Standard Rental
1065 UNIVERSITY AV 116,Standard Rental
1065 UNIVERSITY AV 118,Standard Rental
1065 UNIVERSITY AV 119,Standard Rental
1065 UNIVERSITY AV 120,Standard Rental
1065 UNIVERSITY AV 121,Standard Rental
1065 UNIVERSITY AV 122,Standard Rental
1065 UNIVERSITY AVE 123,Standard Rental
1065 UNIVERSITY AV 124,Standard Rental
1065 UNIVERSITY AV 201,Standard Rental
1065 UNIVERSITY AV 202,Standard Rental
1065 UNIVERSITY AV 203,Standard Rental
1065 UNIVERSITY AV 204,Standard Rental
1065 UNIVERSITY AV 205,Standard Rental
1065 UNIVERSITY AV 206,Standard Rental
1065 UNIVERSITY AV 207,Standard Rental
1065 UNIVERSITY AV 208,Standard Rental
1065 UNIVERSITY AV 209,Standard Rental
1065 UNIVERSITY AVE 210,Standard Rental
1065 UNIVERSITY AV 211,Standard Rental
1065 UNIVERSITY AV 212,Standard Rental
1065 UNIVERSITY AV 213,Standard Rental
1065 UNIVERSITY AV 214,Standard Rental
1065 UNIVERSITY AV 215,Standard Rental
1065 UNIVERSITY AVE 216,Standard Rental
1065 UNIVERSITY AV 217,Standard Rental
1065 UNIVERSITY AV 218,Standard Rental
1065 UNIVERSITY AV 219,Standard Rental
1065 UNIVERSITY AV 220,Standard Rental
1065 UNIVERSITY AV 221,Standard Rental
1065 UNIVERSITY AVE 222,Standard Rental
1065 UNIVERSITY AV 223,Standard Rental
1065 UNIVERSITY AV 224,Standard Rental
1162 LINCOLN PL,Standard Rental
940 PENNSYLVANIA AV,Standard Rental
1125 LINCOLN PL,Standard Rental
1122 9TH ST,Standard Rental
1130 LINCOLN PL,Standard Rental
1128 LINCOLN PL,Standard Rental
918 UNIVERSITY AV,Standard Rental
920 UNIVERSITY AV,Standard Rental
956 UNIVERSITY AV,Standard Rental
954 UNIVERSITY AV,Standard Rental
1005 MARINE ST,Standard Rental
964 ARAPAHOE AV 1,Standard Rental
964 ARAPAHOE AV 3,Standard Rental
964 ARAPAHOE AV 4,Standard Rental
964 ARAPAHOE AV 6,Standard Rental
1405 BROADWAY 101,Standard Rental
1405 BROADWAY 103,Standard Rental
1405 BROADWAY 203,Standard Rental
1405 BROADWAY ST  204,Standard Rental
1405 BROADWAY 206,Standard Rental
1405 BROADWAY  207,Standard Rental
1405 BROADWAY  208,Standard Rental
1405 BROADWAY ST 209,Standard Rental
1405 BROADWAY ST 210,Standard Rental
1405 BROADWAY   301,Standard Rental
1405 BROADWAY ST  302,Standard Rental
1405 BROADWAY   305,Standard Rental
1405 BROADWAY  309,Standard Rental
1405 BROADWAY ST 310,Standard Rental
1405 BROADWAY   311,Standard Rental
1405 BROADWAY   314,Standard Rental
1405 BROADWAY ST  402,Standard Rental
1405 BROADWAY 403,Short Term Rental
1029 BROADWAY,Standard Rental
1026 15TH ST,Standard Rental
1020 15TH ST,Standard Rental
1012 15TH ST,Standard Rental
1006 15TH ST,Standard Rental
1521 EUCLID AV,Standard Rental
1011 16TH ST,Standard Rental
1005 BROADWAY,Standard Rental
1080 14TH ST,Standard Rental
1060 14TH ST,Standard Rental
1050 14TH ST,Standard Rental
1040 14TH ST,Standard Rental
1036 14TH ST,Standard Rental
1020 14TH ST,Standard Rental
1016 14TH ST,Standard Rental
1012 14TH ST,Standard Rental
1004 14TH ST,Standard Rental
1025 15TH ST,Standard Rental
1015 15TH ST,Standard Rental
1350 COLLEGE AVE,Standard Rental
1080 13TH ST,Standard Rental
1068 13TH ST,Standard Rental
1058 13TH ST,Standard Rental
1044 13TH ST,Standard Rental
1020 13TH ST,Standard Rental
1305 EUCLID AV,Standard Rental
1031 14TH ST,Standard Rental
1033 14TH ST,Standard Rental
1045 14TH ST,Standard Rental
1059 14TH ST,Standard Rental
1083 13TH ST,Standard Rental
1200 COLLEGE AV 101,Standard Rental
1200 COLLEGE AV 102,Standard Rental
1200 COLLEGE AV 103,Standard Rental
1200 COLLEGE AV 104,Standard Rental
1200 COLLEGE AV 105,Standard Rental
1200 COLLEGE AV 106,Standard Rental
1200 COLLEGE AV 107,Standard Rental
1200 COLLEGE AVE 108,Standard Rental
1200 COLLEGE AV 109,Standard Rental
1200 COLLEGE AV 110,Standard Rental
1200 COLLEGE AV 111,Standard Rental
1200 COLLEGE AV 112,Standard Rental
1200 COLLEGE AV 113,Standard Rental
1200 COLLEGE AV 114,Standard Rental
1200 COLLEGE AV 115,Standard Rental
1200 COLLEGE AV 116,Standard Rental
1200 COLLEGE AV 117,Standard Rental
1200 COLLEGE AV 118,Standard Rental
1200 COLLEGE AV 119,Standard Rental
1200 COLLEGE AV 120,Standard Rental
1200 COLLEGE AV 121,Standard Rental
1200 COLLEGE AV 122,Standard Rental
1200 COLLEGE AVE 123,Standard Rental
1200 COLLEGE AV 124,Standard Rental
1200 COLLEGE AV 125,Standard Rental
1200 COLLEGE AV 201,Standard Rental
1200 COLLEGE AV 203,Standard Rental
1200 COLLEGE AV 204,Standard Rental
1200 COLLEGE AV 205,Standard Rental
1200 COLLEGE AV 206,Standard Rental
1200 COLLEGE AV 207,Standard Rental
1200 COLLEGE AV 208,Standard Rental
1200 COLLEGE AV 209,Standard Rental
1200 COLLEGE AV 210,Standard Rental
1200 COLLEGE AV 211,Standard Rental
1200 COLLEGE AV 212,Standard Rental
1200 COLLEGE AV 213,Standard Rental
1200 COLLEGE AV 214,Standard Rental
1200 COLLEGE AV 215,Standard Rental
1200 COLLEGE AV 216,Standard Rental
1200 COLLEGE AV 217,Standard Rental
1200 COLLEGE AV 218,Standard Rental
1200 COLLEGE AV 219,Standard Rental
1200 COLLEGE AV 220,Standard Rental
1200 COLLEGE AV 221,Standard Rental
1200 COLLEGE AV 222,Standard Rental
1200 COLLEGE AV 223,Standard Rental
1200 COLLEGE AV 224,Standard Rental
1200 COLLEGE AV 225,Standard Rental
1090 11TH ST,Standard Rental
1080 11TH ST,Standard Rental
1074 11TH ST,Standard Rental
1056 11TH ST,Standard Rental
1048 11TH ST,Standard Rental
1040 11TH ST,Standard Rental
1032 11TH ST,Standard Rental
1024 11TH ST,Standard Rental
1010 11TH ST,Standard Rental
1000 11TH ST,Standard Rental
1005 12TH ST,Standard Rental
1021 12TH ST,Standard Rental
1027 12TH ST,Standard Rental
1037 12TH ST,Standard Rental
1045 12TH ST,Standard Rental
1053 12TH ST,Standard Rental
1061 12TH ST,Standard Rental
1150 COLLEGE AV,Standard Rental
1018 COLLEGE AV,Standard Rental
1086 10TH ST,Standard Rental
1080 10TH ST,Standard Rental
1042 10TH ST,Standard Rental
1040 10TH ST,Standard Rental
1020 10TH ST,Standard Rental
1012 10TH ST,Standard Rental
1015 11TH ST,Standard Rental
1019 11TH ST,Standard Rental
1029 11TH ST,Standard Rental
1045 11TH ST,Standard Rental
1061 11TH ST,Standard Rental
1065 11TH ST,Standard Rental
1069 11TH ST,Standard Rental
1071 11TH ST,Standard Rental
1075 11TH ST,Standard Rental
1081 11TH ST,Standard Rental
1087 11TH ST,Standard Rental
1024 COLLEGE AV,Standard Rental
1090 LINCOLN PL,Standard Rental
1080 LINCOLN PL,Standard Rental
1076 LINCOLN PL,Owner Occupied (1 Unit)
1068 LINCOLN PL,Standard Rental
1032 LINCOLN PL,Standard Rental
1026 LINCOLN PL,Standard Rental
1010 LINCOLN PL,Standard Rental
1001 10TH ST,Standard Rental
1011 10TH ST,Standard Rental
1021 10TH ST,Standard Rental
1027 10TH ST,Standard Rental
1035 10TH ST,Standard Rental
1041 10TH ST,Standard Rental
1065 10TH ST,Standard Rental
1075 10TH ST,Standard Rental
1087 10TH ST,Standard Rental
980 COLLEGE AV,Standard Rental
980 COLLEGE AVE,Standard Rental
1093 10TH ST,Standard Rental
1080 9TH ST,Standard Rental
1070 9TH ST,Standard Rental
1052 9TH ST,Standard Rental
1040 9TH ST,Standard Rental
1030 9TH ST,Standard Rental
1020 9TH ST,Standard Rental
1010 9TH ST,Standard Rental
905 EUCLID AV,Standard Rental
1031 LINCOLN PL,Standard Rental
1043 LINCOLN PL,Standard Rental
1069 LINCOLN PL,Standard Rental
1073 LINCOLN PL,Standard Rental
1077 LINCOLN PL,Standard Rental
1081 LINCOLN PL,Standard Rental
1085 LINCOLN PL,Standard Rental
1091 LINCOLN PL,Standard Rental
980 9TH ST,Short Term Rental
962 9TH ST,Standard Rental
950 9TH ST,Standard Rental
942 9TH ST,Short Term Rental
938 9TH ST,Standard Rental
928 9TH ST,Standard Rental
912 9TH ST,Standard Rental
905 LINCOLN PL,Owner Occupied (1 Unit)
919 LINCOLN PL,Owner Occupied (1 Unit)
911 LINCOLN PL,Standard Rental
980 LINCOLN PL,Owner Occupied (1 Unit)
960 LINCOLN PL,Owner Occupied (1 Unit)
930 LINCOLN PL,Standard Rental and Short Term Rental
999 AURORA AV,Standard Rental
915 10TH ST,Standard Rental
943 10TH ST,Standard Rental
961 10TH ST,Standard Rental
965 10TH ST,Standard Rental
969 10TH ST,Owner Occupied (1 Unit)
980 10TH ST,Standard Rental
1010 EUCLID AV,Standard Rental
976 10TH ST,Standard Rental
960 10TH ST,Standard Rental
954 10TH ST,Standard Rental
944 10TH ST,Standard Rental
940 10TH ST,Standard Rental
928 10TH ST,Standard Rental
918 10TH ST,Relative Occupied (1 Unit)
904 10TH ST,Standard Rental
921 11TH ST,Standard Rental
929 11TH ST,Standard Rental
963 11TH ST,Standard Rental
965 11TH ST,Standard Rental
981 11TH ST,Owner Occupied (1 Unit)
1138 EUCLID AVE,Standard Rental
980 11TH ST,Standard Rental
970 11TH ST,Standard Rental
962 11TH ST,Standard Rental
954 11TH ST,Standard Rental
940 11TH ST,Standard Rental
927 12TH ST,Standard Rental
935 12TH ST,Standard Rental
955 12TH ST,Owner Occupied (1 Unit)
969 12TH ST,Standard Rental
1150 EUCLID AV,Standard Rental
1140 EUCLID AV,Standard Rental
922 12TH ST,Standard Rental
916 12TH ST,Standard Rental
905 13TH ST,Standard Rental
929 13TH ST,Standard Rental
984 13TH ST,Standard Rental
976 13TH ST,Standard Rental
968 13TH ST,Standard Rental
936 13TH ST,Standard Rental
926 13TH ST,Standard Rental
918 13TH ST,Standard Rental
914 13TH ST,Standard Rental
900 13TH ST,Owner Occupied (1 Unit)
909 14TH ST,Standard Rental
933 14TH ST,Standard Rental
945 14TH ST,Standard Rental
967 14TH ST,Standard Rental
973 14TH ST,Standard Rental
983 14TH ST,Standard Rental
994 14TH ST,Standard Rental
1420 EUCLID AV,Standard Rental
990 14TH ST,Standard Rental
972 14TH ST,Standard Rental
960 14TH ST,Standard Rental
952 14TH ST,Standard Rental
940 14TH ST,Standard Rental
934 14TH ST,Standard Rental
930 14TH ST,Standard Rental
920 14TH ST,Standard Rental
916 14TH ST,Standard Rental
905 15TH ST,Standard Rental
937 15TH ST,Standard Rental
941 15TH ST,Standard Rental
951 15TH ST,Standard Rental
969 15TH ST,Standard Rental
975 15TH ST,Standard Rental
987 15TH ST,Standard Rental
960 15TH ST,Standard Rental
940 15TH ST,Standard Rental
936 15TH ST,Standard Rental
930 15TH ST,Standard Rental
904 15TH ST,Standard Rental
903 16TH ST,Standard Rental
911 16TH ST,Standard Rental
925 16TH ST,Standard Rental
935 16TH ST,Standard Rental
955 16TH ST,Standard Rental
985 16TH ST,Standard Rental
870 15TH ST,Attached Accessory Dwelling Unit
862 15TH ST,Owner Occupied (1 Unit)
844 15TH ST,Attached Accessory Dwelling Unit
830 15TH ST,Short Term Rental
822 15TH ST,Standard Rental
835 16TH ST,Standard Rental
849 16TH ST,Standard Rental
851 16TH ST,Standard Rental
859 16TH ST,Standard Rental
869 16TH ST,Standard Rental
875 16TH ST,Standard Rental
815 16TH ST,Standard Rental
864 14TH ST,Standard Rental
850 14TH ST,Standard Rental
816 14TH ST,Standard Rental
897 15TH ST,Standard Rental
888 13TH ST,Standard Rental
834 13TH ST,Standard Rental
820 13TH ST,Standard Rental
812 13TH ST,Standard Rental
875 14TH ST,Owner Occupied ADU & Short Term Dwelling Unit
881 14TH ST,Short Term Rental
889 14TH ST,Standard Rental
870 12TH ST,Standard Rental
844 12TH ST,Standard Rental
830 12TH ST,Standard Rental
829 13TH ST,Standard Rental
845 13TH ST,Standard Rental
877 13TH ST,Standard Rental
890 11TH ST,Standard Rental
852 11TH ST,Short Term Rental
1111 CASCADE AV,Short Term Rental
835 12TH ST,Standard Rental
891 12TH ST,Standard Rental
1000 AURORA AV,Standard Rental
856 10TH ST,Standard Rental
848 10TH ST,Short Term Rental
832 10TH ST,Standard Rental
861 11TH ST,Short Term Rental
877 11TH ST,Standard Rental
895 11TH ST,Standard Rental
890 9TH ST,Standard Rental
874 9TH ST,Standard Rental
858 9TH ST,Standard Rental
818 9TH ST,Standard Rental
901 CASCADE AV,Standard Rental
939 CASCADE AV,Standard Rental
821 LINCOLN PL,Standard Rental
865 LINCOLN PL,Standard Rental
877 LINCOLN PL,Standard Rental
788 9TH ST,Standard Rental
774 9TH ST,Standard Rental
707 LINCOLN PL,Short Term Rental
735 LINCOLN PL,Standard Rental
917 BASELINE RD,Standard Rental
771 10TH ST,Standard Rental
775 10TH ST,Standard Rental
748 10TH ST,Cooperative Housing
728 10TH ST,Standard Rental
781 11TH ST,Standard Rental
787 11TH ST,Standard Rental
1123 BASELINE RD,Short Term Rental
750 12TH ST,Owner Occupied (1 Unit)
728 12TH ST,Owner Occupied (1 Unit)
765 13TH ST,Standard Rental
764 13TH ST,Standard Rental
750 13TH ST,Standard Rental
740 13TH ST,Standard Rental
715 14TH ST,Short Term Rental
725 14TH ST,Short Term Rental
718 14TH ST,Standard Rental
703 15TH ST,Standard Rental
743 15TH ST,Standard Rental
745 15TH ST,Standard Rental
738 15TH ST,Attached Accessory Dwelling Unit
775 16TH ST,Standard Rental
775 16TH ST,Standard Rental
775 16TH ST,Standard Rental
775 16TH ST,Standard Rental
1005 11TH ST,Standard Rental
1069 12TH ST,Standard Rental
1036 12TH ST,Standard Rental
1030 12TH ST,Standard Rental
1010 12TH ST,Standard Rental
1033 13TH ST,Standard Rental
1041 13TH ST,Standard Rental
1047 13TH ST,Standard Rental
1057 13TH ST,Standard Rental
1067 13TH ST,Standard Rental
1073 13TH ST,Standard Rental
1081 13TH ST,Standard Rental
1085 BROADWAY  1,Standard Rental
1085 BROADWAY  2,Standard Rental
1085 BROADWAY  3,Standard Rental
1085 BROADWAY 4,Standard Rental
1085 BROADWAY  5,Standard Rental
1085 BROADWAY  7,Standard Rental
1085 BROADWAY  8,Standard Rental
1085 BROADWAY  9,Standard Rental
1085 BROADWAY 10,Standard Rental
1085 BROADWAY  11,Standard Rental
1085 BROADWAY  13,Standard Rental
1085 BROADWAY  14,Standard Rental
1085 BROADWAY 15,Standard Rental
1085 BROADWAY 16,Standard Rental
1085 BROADWAY 16,Standard Rental
1085 BROADWAY  19,Standard Rental
1085 BROADWAY  20,Standard Rental
1085 BROADWAY  21,Standard Rental
961 16TH ST 1,Standard Rental
