main_address,rental_type
4011 WONDERLAND HILL AVE,Standard Rental
4015 WONDERLAND HILL AVE,Standard Rental
619 QUINCE CIR,Standard Rental
1140 POPLAR AV,Standard Rental
1150 POPLAR AV,Standard Rental
1160 POPLAR AV,Standard Rental
1170 POPLAR AV,Standard Rental
1180 POPLAR AV,Standard Rental
1190 POPLAR AV,Standard Rental
1000 POPLAR AVE,Short Term Rental
1010 POPLAR AVE,Short Term Rental
1020 POPLAR AVE,Standard Rental
1110 POPLAR AV,Standard Rental
3885 ORANGE CT,Short Term Rental
990 POPLAR AVE,Accessory Dwelling Unit
805 POPLAR AVE,Standard Rental
1075 POPLAR AVE,Standard Rental
1150 OAKDALE PL,Short Term Rental
1067 ORANGE PL,Standard Rental
1127 ORANGE PL,Standard Rental
1122 ORANGE PL,Standard Rental
525 QUAIL CIR,Standard Rental
1149 QUINCE AV,Standard Rental
1173 QUINCE AVE,Standard Rental
1100 QUINCE AVE,Standard Rental
995 QUINCE AV,Short Term Rental
936 RAINLILLY LN,Short Term Rental
926 RAINLILLY LN,Standard Rental
1170 QUINCE AV,Standard Rental
905 POPLAR PL,Standard Rental
946 POPLAR PL,Standard Rental
936 POPLAR PL,Standard Rental
777 POPLAR AVE 747,Standard Rental
777 POPLAR AV 767,Standard Rental
3963 SPRINGLEAF LN,Standard Rental
1169 KALMIA AVE,Standard Rental
930 LINDEN AV,Standard Rental
706 KALMIA AVE,Short Term Rental
1015 JUNIPER AVE,Standard Rental
1015 JUNIPER AVE,Standard Rental
777 JUNIPER AVE,Standard Rental
3700 WONDERLAND HILL AV,Standard Rental
3053 4TH ST,Short Term Rental
3708 WONDERLAND HILL AV,Short Term Rental
536 LINDEN PARK DR,Standard Rental
3726 WONDERLAND HILL AV,Short Term Rental
636 LINDEN PARK DR,Standard Rental
3763 WONDERLAND HILL AV,Accessory Dwelling Unit
710 LINDEN PARK DR,Short Term Rental
1135 LINDEN CR,Short Term Rental
3760 MOFFIT CT,Standard Rental
3774 MOFFIT CT,Standard Rental
3778 MOFFIT CT,Short Term Rental
575 JACK PINE CT,Standard Rental
725 JONQUIL PL,Standard Rental
1160 JUNIPER AV,Standard Rental
1164 JUNIPER AV,Standard Rental
1170 JUNIPER AV,Standard Rental
1180 JUNIPER AVE,Standard Rental
1184 JUNIPER AV,Standard Rental
1192 JUNIPER AVE,Standard Rental
1194 JUNIPER AV,Standard Rental
405 KALMIA AV,Standard Rental
1041 KALMIA AV,Standard Rental
1190 LINDEN AV,Short Term Rental
1180 LINDEN AV,Standard Rental
1130 LINDEN AV,Owner Occupied Dwelling Unit & Short Term ADU
500 KALMIA AV,Standard Rental
543 LINDEN PARK DR,Standard Rental
3515 BROADWAY B,Standard Rental
3517 BROADWAY E,Standard Rental
3517 BROADWAY F,Standard Rental
3505 BROADWAY,Short Term Rental
3737 SPRING VALLEY RD,Attached Accessory Dwelling Unit
3792 LAKEBRIAR DR,Standard Rental
3790 LAKEBRIAR DR,Standard Rental
3752 LAKEBRIAR DR,Standard Rental
3547 4TH ST,Standard Rental
3718 SPRING VALLEY RD,Short Term Rental
350 LINDEN AVE,Accessory Dwelling Unit
310 LINDEN AV,Short Term Rental
3307 4TH ST,Detached Accessory Dwelling Unit
3021 3RD ST,Accessory Dwelling Unit
3111 3RD ST,Standard Rental
300 FOREST AV,Standard Rental
3111 4TH ST,Standard Rental
3171 4TH ST,Standard Rental
390 FOREST AV,Short Term Rental
3030 3RD ST,Standard Rental
3057 4TH ST,Short Term Rental
3061 4TH ST,Standard Rental
3087 3RD ST,Standard Rental
855 IRIS AV,Standard Rental
721 IRIS AVE,Standard Rental
635 IRIS AVE,Standard Rental
561 IRIS AV,Standard Rental
551 IRIS AV,Standard Rental
410 IRIS AVE,Standard Rental
560 IRIS AV,Short Term Rental
580 IRIS AV,Standard Rental
800 IRIS AV,Standard Rental
864 IRIS AV,Standard Rental
821 HAWTHORN AV,Standard Rental
655 HAWTHORN AV,Standard Rental
531 HAWTHORN AV,Accessory Dwelling Unit
455 HAWTHORN AVE,Standard Rental
3255 6TH ST,Standard Rental
600 HAWTHORN AV,Standard Rental
755 GRAPE AV,Standard Rental
760 GRAPE AV,Standard Rental
780 GRAPE AV,Standard Rental
865 GRAPE AVE,Standard Rental
845 GRAPE AV,Standard Rental
775 GRAPE AVE,Standard Rental
740 HAWTHORN AV,Standard Rental
802 HAWTHORN AVE,Standard Rental
810 HAWTHORN AVE,Standard Rental
1190 HAWTHORN AV,Short Term Rental
1165 GRAPE AVE,Short Term Rental
3237 BROADWAY,Standard Rental
908 HAWTHORN AVE,Standard Rental
3086 4TH ST,Standard Rental
3018 4TH ST,Accessory Dwelling Unit
3176 4TH ST,Standard Rental
3170 4TH ST,Standard Rental
3150 4TH ST,Accessory Dwelling Unit
3128 4TH ST,Standard Rental
417 EVERGREEN AV,Standard Rental
3145 5TH ST,Short Term Rental
3189 5TH ST,Standard Rental
3220 4TH ST,Standard Rental
3225 5TH ST,Standard Rental
3134 11TH ST,Standard Rental
1117 EVERGREEN AV,Standard Rental
3103 BROADWAY,Standard Rental
3143 BROADWAY,Standard Rental
3153 BROADWAY,Standard Rental
3161 BROADWAY,Standard Rental
3086 11TH ST,Standard Rental
3069 BROADWAY,Standard Rental
3075 BROADWAY,Standard Rental
3076 10TH ST,Standard Rental
3010 10TH ST,Standard Rental
3055 11TH ST,Accessory Dwelling Unit
3079 11TH ST,Standard Rental
3134 10TH ST,Standard Rental
3130 10TH ST,Short Term Rental
1015 EVERGREEN AV,Short Term Rental
3167 11TH ST,Standard Rental
1015 FOREST AV,Standard Rental
3231 11TH ST,Accessory Dwelling Unit
3228 9TH ST,Standard Rental
907 FOREST AV,Standard Rental
3188 9TH ST,Standard Rental
3136 9TH ST,Short Term Rental
3117 10TH ST,Short Term Rental
3187 10TH ST,Standard Rental
3007 10TH ST,Cooperative Housing
3090 8TH ST,Standard Rental
3056 8TH ST,Standard Rental
3015 9TH ST,Short Term Rental
3190 8TH ST,Standard Rental
3166 8TH ST,Accessory Dwelling Unit
3142 8TH ST,Standard Rental
3122 8TH ST,Standard Rental
803 EVERGREEN AV,Owner Occupied Dwelling Unit & Short Term ADU
3232 8TH ST,Standard Rental
3215 9TH ST,Standard Rental
3215 9TH ST,Standard Rental
3201 8TH ST,Standard Rental
3235 8TH ST,Standard Rental
3140 7TH ST,Standard Rental
3132 7TH ST,Accessory Dwelling Unit
727 EVERGREEN AVE,Short Term Rental
3076 7TH ST,Short Term Rental
3056 7TH ST,Standard Rental
3018 7TH ST,Short Term Rental
3015 8TH ST,Standard Rental
3084 6TH ST,Short Term Rental
3084 6TH ST,Short Term Rental
3033 7TH ST,Short Term Rental
3051 7TH ST,Standard Rental
3130 6TH ST,Standard Rental
3232 6TH ST,Accessory Dwelling Unit
3150 5TH ST,Standard Rental
3115 6TH ST,Standard Rental
3179 6TH ST,Standard Rental
3040 5TH ST,Accessory Dwelling Unit
3005 6TH ST,Standard Rental
1101 FOREST AVE,Standard Rental
3201 BROADWAY,Standard Rental
3209 BROADWAY,Standard Rental
3217 BROADWAY,Standard Rental
3233 BROADWAY,Standard Rental
925 GRAPE AV,Standard Rental
945 GRAPE AV,Standard Rental
965 GRAPE AV,Standard Rental
3241 11TH ST,Standard Rental
3282 4TH ST,Standard Rental
440 HAWTHORN AV,Standard Rental
465 GRAPE AV,Standard Rental
415 GRAPE AV,Standard Rental
1012 HAWTHORN AVE,Standard Rental
3025 BROADWAY  1,Standard Rental
3025 BROADWAY  6,Standard Rental
3025 BROADWAY  8,Standard Rental
3025 BROADWAY  10,Standard Rental
3025 BROADWAY   11,Standard Rental
3025 BROADWAY 12,Standard Rental
3025 BROADWAY  13,Standard Rental
3025 BROADWAY  15,Standard Rental
3025 BROADWAY  16,Standard Rental
3025 BROADWAY  17,Standard Rental
3025 BROADWAY 19,Standard Rental
3025 BROADWAY  20,Standard Rental
3025 BROADWAY 26,Standard Rental
3025 BROADWAY 27,Standard Rental
3025 BROADWAY 30,Standard Rental
3025 BROADWAY  32,Standard Rental
3025 BROADWAY 38,Standard Rental
3025 BROADWAY  40,Standard Rental
640 GRAPE AV,Short Term Rental
3345 BROADWAY  1,Standard Rental
3345 BROADWAY  3,Standard Rental
3156 7TH ST,Standard Rental
3144 7TH ST,Short Term Rental
3242 5TH ST,Standard Rental
1125 MAXWELL AV,Standard Rental
1122 PORTLAND PL,Standard Rental
1102 PORTLAND PL,Standard Rental and Short Term Rental
1025 MAXWELL AV,Standard Rental
2445 10TH ST,Standard Rental
2433 10TH ST,Standard Rental
929 MAXWELL AVE,Standard Rental
1020 PORTLAND PL,Short Term Rental
1004 PORTLAND PL,Standard Rental
2460 9TH ST,Standard Rental
1119 MAXWELL AV,Owner Occupied (1 Unit)
2531 5TH ST,Short Term Rental
2535 5TH ST,Standard Rental
436 CONCORD AV,Standard Rental and Short Term Rental
432 CONCORD AVE,Standard Rental
424 CONCORD AVE,Short Term Rental
404 CONCORD AV,Standard Rental
2526 4TH ST,Standard Rental
403 MAXWELL AV,Standard Rental
429 MAXWELL AVE,Attached Accessory Dwelling Unit
435 MAXWELL AV,Short Term Rental
457 MAXWELL AV,Standard Rental
435 CONCORD AVE,Standard Rental
429 CONCORD AVE,Short Term Rental
423 CONCORD AV,Standard Rental
401 CONCORD AV,Standard Rental
