PRECINCT,age avg,latitude,longitude,Neighborhood
4171207607,48,40.16935153183274,-105.0788770752247,Kensington
2171207206,50,39.96926962733875,-105.1400870269475,Old Town
2171207315,51,40.00746625679116,-105.12319519573519,Lafayette
2181007809,49,40.04913400607771,-105.27744144849981,Norwood-Quince
2163307104,45,39.93703738173299,-105.160675612593,Rock Creek Ranch
2171207205,47,39.96875731694472,-105.15161985471707,Fireside
4171107628,52,40.18126148332158,-105.1138911132175,Loomitter
2181307859,51,39.97252576710686,-105.26523875572002,Devil's Thumb
2181007850,55,39.99499901188041,-105.2412245072902,Pinon
2181307864,53,39.98214310878349,-105.25296625214597,Table Mesa South
2181207405,54,40.03463559771072,-105.15476545145748,Boulder
2171207309,49,40.00849409355213,-105.08391150409471,Lafayette
2181007805,52,40.06914273401166,-105.25978146112226,Boulder
2171207209,49,39.97958342939103,-105.15766196898073,Hillside
2173307411,46,40.03298321367803,-105.08389983229111,Erie
2171207203,47,39.9682509435803,-105.16743317600941,Hillside
2181107912,53,40.08435633117573,-105.33217685460141,Lazy Acres
2181307904,52,39.97846288557797,-105.41098861327323,Bald Mountain
2145235240,21,NaN,NaN,
4171107653,53,40.19935978299456,-105.13574510332668,McIntosh
2181307873,55,39.99641255151377,-105.27710653032034,East Chautauqua
2181307903,50,39.997003728689805,-105.4920327407329,St. Ann Highlands
2181107703,55,40.14652577753962,-105.20675509316268,Longmont
2181307906,53,39.97181850065391,-105.26550106065517,Bald Mountain
2181307905,51,39.946624775513044,-105.38205031931294,Bald Mountain
2173307400,58,39.95008213203524,-105.0868299677019,Lafayette-Louisville
4304418313,21,NaN,NaN,
2181007504,52,40.08008674766248,-105.1690682163185,Gunbarrel
2154935430,21,NaN,NaN,
2086159018,59,NaN,NaN,
3082654002,38,NaN,NaN,
6253001260,23,NaN,NaN,
3056115020,32,NaN,NaN,
2233364105,26,NaN,NaN,
2155135504,42,NaN,NaN,
3056149006,47,NaN,NaN,
3056126003,82,NaN,NaN,
1310816841,23,NaN,NaN,
4043918107,21,NaN,NaN,
6283603340,36,NaN,NaN,
7192930155,34,NaN,NaN,
2155135538,55,NaN,NaN,
2233364208,33,NaN,NaN,
2145335306,23,NaN,NaN,
7243501061,31,NaN,NaN,
1340516531,31,NaN,NaN,
3075439009,50,NaN,NaN,
1310616647,85,NaN,NaN,
7162430087,21,NaN,NaN,
7192930131,42,NaN,NaN,
